Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup,n_offers,weight,RT_Average,RT_Median,real_RT_Average,real_RT_Median
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.09,6.638,0.452,245.519,1.306599,9.2638,8.6732,0.5906,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.09,6.638,0.452,245.519,1.306599,9.2638,8.6732,0.5906,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.89,6.638,1.252,245.519,1.306599,10.3091,8.6732,1.6359,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.9,6.638,1.262,245.519,1.306599,10.3221,8.6732,1.6489,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,11.15,6.638,4.512,245.519,1.306599,14.5686,8.6732,5.8954,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.9,6.638,-0.738,245.519,1.306599,7.7089,8.6732,-0.9643,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.64,6.638,2.002,245.519,1.306599,11.289,8.6732,2.6158,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.19,6.638,1.552,245.519,1.306599,10.701,8.6732,2.0278,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.4,6.638,-1.238,245.519,1.306599,7.0556,8.6732,-1.6176,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.49,6.638,0.852,245.519,1.306599,9.7864,8.6732,1.1132,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.49,6.638,2.852,245.519,1.306599,12.3996,8.6732,3.7264,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.84,6.638,-0.798,245.519,1.306599,7.6305,8.6732,-1.0427,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,11.65,6.638,5.012,245.519,1.306599,15.2219,8.6732,6.5487,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,7.99,6.638,1.352,245.519,1.306599,10.4397,8.6732,1.7665,112,0.0089285714285714,2.704,2.403,3.533,3.1398
