Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup
2017,8,DUQ,11.75,7.5333,4.2167,245.519,1.306599,15.3525,9.843,5.5095
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,10.5,7.5333,2.9667,245.519,1.306599,13.7193,9.843,3.8762
2017,8,DUQ,8.59,7.5333,1.0567,245.519,1.306599,11.2237,9.843,1.3806
2017,8,DUQ,8.59,7.5333,1.0567,245.519,1.306599,11.2237,9.843,1.3806
2017,8,DUQ,6.59,7.5333,-0.9433,245.519,1.306599,8.6105,9.843,-1.2326
2017,8,DUQ,7.98,7.5333,0.4467,245.519,1.306599,10.4267,9.843,0.5836
2017,8,DUQ,7.78,7.5333,0.2467,245.519,1.306599,10.1653,9.843,0.3223
2017,8,DUQ,8.78,7.5333,1.2467,245.519,1.306599,11.4719,9.843,1.6289
2017,8,DUQ,9.18,7.5333,1.6467,245.519,1.306599,11.9946,9.843,2.1515
2017,8,DUQ,8.78,7.5333,1.2467,245.519,1.306599,11.4719,9.843,1.6289
2017,8,DUQ,9.58,7.5333,2.0467,245.519,1.306599,12.5172,9.843,2.6742
2017,8,DUQ,6.55,7.5333,-0.9833,245.519,1.306599,8.5582,9.843,-1.2848
2017,8,DUQ,7.99,7.5333,0.4567,245.519,1.306599,10.4397,9.843,0.5967
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,7.97,7.5333,0.4367,245.519,1.306599,10.4136,9.843,0.5705
2017,8,DUQ,8.02,7.5333,0.4867,245.519,1.306599,10.4789,9.843,0.6359
2017,8,DUQ,8.06,7.5333,0.5267,245.519,1.306599,10.5312,9.843,0.6881
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,12.25,7.5333,4.7167,245.519,1.306599,16.0058,9.843,6.1628
2017,8,DUQ,7.6,7.5333,0.0667,245.519,1.306599,9.9302,9.843,0.0871
2017,8,DUQ,10.18,7.5333,2.6467,245.519,1.306599,13.3012,9.843,3.4581
2017,8,DUQ,9.69,7.5333,2.1567,245.519,1.306599,12.6609,9.843,2.8179
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436
2017,8,DUQ,8.5,7.5333,0.9667,245.519,1.306599,11.1061,9.843,1.263
