Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q10,Q50,Q90
2021,5,DUQ,73,2.4376,3.2406,0.9178,0.4528,2.2523,4.5999
2021,5,METED,55,2.6307,2.0655,0.9455,0.5672,2.8267,4.2567
2021,5,PECO,81,5.6113,4.976,1.0,3.0781,5.1397,8.0236
2021,5,PENELEC,52,7.9164,2.4309,1.0,6.1002,8.0545,9.7599
2021,5,PPL,64,9.8566,2.6805,1.0,8.2886,9.7026,11.4664
2021,6,APS,76,1.6162,3.3072,0.8289,-0.314,1.4156,3.9483
2021,6,DUQ,77,2.2298,3.0,0.9221,0.0079,2.0151,4.6245
2021,6,METED,58,1.4114,1.8672,0.8448,-0.2386,1.5349,2.8833
2021,6,PECO,88,2.0852,4.9459,0.8636,-0.1523,1.6034,5.4171
2021,6,PENELEC,57,1.5164,2.3236,0.807,-0.3684,1.568,3.2824
2021,6,PPL,71,2.428,2.9587,0.9859,0.4404,1.9989,4.6792
2021,7,APS,76,8.7616,3.2511,1.0,6.8612,8.5121,10.9797
2021,7,DUQ,77,2.43,3.1215,0.9091,0.0078,2.4755,4.6023
2021,7,METED,57,1.8925,2.8801,0.8596,-0.2383,1.5393,3.8824
2021,7,PECO,86,5.7355,4.5449,1.0,3.5698,5.215,8.9164
2021,7,PENELEC,57,8.6979,2.3092,1.0,6.6837,8.6108,10.3922
2021,7,PPL,71,6.179,2.828,1.0,3.9635,6.0551,8.1819
2021,8,APS,80,8.8075,3.8364,1.0,6.7895,8.4946,11.0908
2021,8,DUQ,80,10.6707,3.8109,1.0,8.1432,10.3466,13.3156
2021,8,METED,60,2.1288,3.3533,0.8667,-0.2489,1.9759,4.3048
2021,8,PECO,90,5.9965,4.3947,1.0,3.9506,5.3801,8.898
2021,8,PENELEC,59,9.0355,3.8777,1.0,6.5996,8.7221,11.595
2021,8,PPL,74,6.5904,3.8881,1.0,3.9389,6.283,9.0997
2021,9,APS,59,3.2342,3.8284,0.9492,1.2533,3.3934,5.8469
2021,9,DUQ,59,3.3356,2.5616,0.9831,1.7386,3.0484,5.5511
2021,9,METED,49,2.4266,2.5157,0.8776,-0.0632,2.7319,4.0393
2021,9,PECO,78,2.5723,3.3958,0.9231,0.7508,2.2138,5.2392
2021,9,PENELEC,50,2.487,3.219,0.9,0.0105,2.4956,4.7399
2021,9,PPL,61,3.8714,3.4158,0.9836,1.3484,4.3422,5.6754
