Year,Month,EDC,total_weight
2023,4,APS,0.9999999999999953
2023,4,DUQ,0.9999999999999996
2023,4,METED,0.999999999999999
2023,4,PECO,0.9999999999999989
2023,4,PENELEC,0.9999999999999997
2023,4,PPL,0.9999999999999953
2023,5,APS,0.9999999999999953
2023,5,DUQ,0.9999999999999989
2023,5,METED,1.0
2023,5,PECO,0.9999999999999953
2023,5,PENELEC,1.0
2023,5,PPL,0.9999999999999984
2023,6,APS,0.9999999999999988
2023,6,DUQ,0.9999999999999997
2023,6,METED,0.9999999999999989
2023,6,PECO,0.9999999999999984
2023,6,PENELEC,0.9999999999999989
2023,6,PPL,1.0
2023,7,APS,0.9999999999999988
2023,7,DUQ,0.9999999999999997
2023,7,METED,0.9999999999999989
2023,7,PECO,0.9999999999999984
2023,7,PENELEC,0.9999999999999989
2023,7,PPL,1.0
2023,8,APS,0.9999999999999989
2023,8,DUQ,1.0
2023,8,METED,0.9999999999999984
2023,8,PECO,0.9999999999999988
2023,8,PENELEC,1.0
2023,8,PPL,0.9999999999999976
2023,9,APS,0.9999999999999989
2023,9,DUQ,1.0
2023,9,METED,0.9999999999999984
2023,9,PECO,0.9999999999999988
2023,9,PENELEC,1.0
2023,9,PPL,0.9999999999999976
2023,10,APS,0.9999999999999989
2023,10,DUQ,0.9999999999999983
2023,10,METED,0.9999999999999984
2023,10,PECO,0.9999999999999969
2023,10,PENELEC,0.9999999999999997
2023,10,PPL,0.9999999999999982
2023,11,APS,0.9999999999999984
2023,11,DUQ,0.9999999999999983
2023,11,METED,0.9999999999999984
2023,11,PECO,0.9999999999999989
2023,11,PENELEC,0.9999999999999984
2023,11,PPL,0.9999999999999982
2023,12,APS,0.9999999999999984
2023,12,DUQ,1.0
2023,12,METED,0.9999999999999984
2023,12,PECO,0.9999999999999989
2023,12,PENELEC,0.9999999999999984
2023,12,PPL,0.999999999999999
2024,1,APS,0.9999999999999984
2024,1,DUQ,1.0
2024,1,METED,0.9999999999999984
2024,1,PECO,0.9999999999999989
2024,1,PENELEC,0.9999999999999984
2024,1,PPL,0.999999999999999
2024,2,APS,0.9999999999999984
2024,2,DUQ,1.0
2024,2,METED,0.9999999999999984
2024,2,PECO,0.9999999999999976
2024,2,PENELEC,0.9999999999999984
2024,2,PPL,0.999999999999999
2024,3,APS,0.9999999999999984
2024,3,DUQ,1.0
2024,3,METED,0.9999999999999984
2024,3,PECO,0.9999999999999976
2024,3,PENELEC,0.9999999999999984
2024,3,PPL,0.9999999999999996
2024,4,APS,0.999999999999999
2024,4,DUQ,0.9999999999999983
2024,4,METED,0.999999999999999
2024,4,PECO,0.9999999999999976
2024,4,PENELEC,0.999999999999999
2024,4,PPL,0.9999999999999983
2024,7,APS,0.9999999999999983
2024,7,DUQ,0.9999999999999997
2024,7,METED,0.9999999999999983
2024,7,PECO,0.9999999999999989
2024,7,PENELEC,0.9999999999999983
2024,7,PPL,0.9999999999999997
2024,8,APS,0.999999999999996
2024,8,DUQ,0.999999999999999
2024,8,METED,0.9999999999999989
2024,8,PECO,0.9999999999999953
2024,8,PENELEC,0.9999999999999989
2024,8,PPL,0.9999999999999988
2024,9,APS,0.9999999999999953
2024,9,DUQ,0.9999999999999989
2024,9,METED,1.0
2024,9,PECO,0.9999999999999953
2024,9,PENELEC,1.0
2024,9,PPL,0.9999999999999984
2024,10,APS,1.0
2024,10,DUQ,0.9999999999999989
2024,10,METED,1.0
2024,10,PECO,0.9999999999999983
2024,10,PENELEC,1.0
2024,10,PPL,0.9999999999999984
2024,11,APS,0.9999999999999986
2024,11,DUQ,0.9999999999999989
2024,11,METED,0.9999999999999972
2024,11,PECO,0.9999999999999989
2024,11,PENELEC,0.9999999999999972
2024,11,PPL,1.0
2024,12,APS,0.9999999999999997
2024,12,DUQ,0.9999999999999997
2024,12,METED,0.9999999999999976
2024,12,PECO,0.999999999999996
2024,12,PENELEC,0.9999999999999976
2024,12,PPL,1.0
2025,1,APS,0.9999999999999953
2025,1,DUQ,1.0
2025,1,METED,0.9999999999999989
2025,1,PECO,1.0
2025,1,PENELEC,0.9999999999999989
2025,1,PPL,0.9999999999999989
2025,2,APS,0.9999999999999997
2025,2,DUQ,0.9999999999999997
2025,2,METED,0.9999999999999976
2025,2,PECO,0.9999999999999983
2025,2,PENELEC,0.9999999999999976
2025,2,PPL,0.9999999999999989
2025,3,APS,0.9999999999999997
2025,3,DUQ,0.9999999999999989
2025,3,METED,1.0
2025,3,PECO,0.9999999999999956
2025,3,PENELEC,1.0
2025,3,PPL,0.9999999999999989
2025,4,APS,0.9999999999999988
2025,4,DUQ,0.9999999999999997
2025,4,METED,0.9999999999999989
2025,4,PECO,0.9999999999999953
2025,4,PENELEC,1.0
2025,4,PPL,0.9999999999999969
